generation,leftchild,rightchild,abstime,betainit,betashift
2880000,RamazIP_MTR24117_0493_AEJD,Rvent_0143_ABED,11.7742,3.47036,0.0856218
2910000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.161438,0.0401981
2940000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.160024,0.0591098
2940000,RventJLB06_018_0156_ABFG,NA,13.5383,1.41758,0.0292801
2940000,RimitJLB07_42_0404_AEAE,RimitET_16_061_0915_AJBF,10.9752,3.4315,-0.030038
2940000,EcaptJB0004n1_0239_ACDJ,NA,5.39627,1.3453,-0.0829776
2970000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.575838,-0.0604458
3000000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.124828,0.131626
3030000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.176482,0.153939
3030000,RtoraIP_MTR28544_0631_AGDB,RdeflSCF2012_0898_AIJI,8.50373,0.00208664,-0.156206
3030000,Mminu_0244_ACEE,NA,5.45555,1.43809,0.0424188
3060000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.130232,0.085583
3060000,RfantJLB07_046_0069_AAGJ,NA,13.6983,0.271702,-0.0768135
3060000,RdeflSCF2012_0898_AIJI,NA,10.3574,1.84678,-0.0506351
3090000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.262877,0.0155796
3090000,Ruaka_0119_ABBJ,Ruaka_0121_ABCB,13.5815,0.545238,0.0949894
3090000,Rvari_0123_ABCD,NA,13.3644,2.61801,0.0776297
3120000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.167602,0.0565018
3120000,Rvari_0123_ABCD,NA,14.5441,2.89667,0.0255015
3150000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.174892,0.097637
3180000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.259103,-0.0115926
3180000,EcaptJB0004n1_0239_ACDJ,NA,8.57129,1.60397,-0.0639797
3210000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.211738,0.0361103
3210000,Rfant_0062_AAGC,NA,14.3537,0.625939,0.0800305
3210000,Rvent_0154_ABFE,NA,12.9344,0.654941,-0.0297982
3210000,Mminu_0244_ACEE,NA,11.595,0.72095,-0.0721747
3240000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.188383,0.0609192
3270000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.281511,0.0133839
3270000,EcaptJB0004n1_0239_ACDJ,NA,7.65776,0.826881,0.0917843
3300000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.132324,0.050432
3300000,RuakaJLB17_142_0815_AIBF,NA,13.3934,0.614088,0.0456895
3300000,RuakaJLB17_051_0455_AEFF,NA,12.443,0.0336037,-0.00551696
3300000,RretiMNCN_27372_0417_AEBH,NA,13.7143,3.07908,-0.144427
3300000,RfanJLB07_19_0398_ADJI,Rduel_0058_AAFI,8.30623,1.28914,0.0240924
3300000,RfanJLB07_19_0398_ADJI,Rduel_0058_AAFI,9.07544,0.370991,-0.0738981
3300000,RimitJLB07_42_0404_AEAE,RimitJLB07_49_2_0655_AGFF,13.5052,1.91124,0.000484013
3300000,Mminu_0244_ACEE,NA,11.7004,1.00298,-0.0614209
3330000,RfanJLB07_19_0398_ADJI,EcaptJB0004n1_0239_ACDJ,0,0.258445,-0.00446685
